league,season,player_id,player_name,team_title,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
serie_a,2014-2015,3908,Lorenzo Rosseti,Atalanta,S,1,43,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,3910,Cristiano Del Grosso,Atalanta,D S,13,718,0,1,0.1217999141663312,0.6592269446700811,3,7,0,0,0,0.1217999141663312,2.184954419732094,2.029598029330373
serie_a,2014-2015,3912,Giandomenico Mesto,Napoli,D S,7,273,0,0,0.0286239087581634,0.0,1,0,1,0,0,0.0286239087581634,1.3330750204622746,1.304451111704111
serie_a,2014-2015,3913,Antonio Balzano,Cagliari,D M S,25,1999,0,2,0.3523460607975721,1.997612348757684,10,21,6,0,0,0.3523460607975721,5.870347701013088,4.951046222820878
serie_a,2014-2015,3914,Alejandro González,"Cagliari,Verona",D S,12,800,0,0,0.0405941493809223,0.0688516777008771,3,3,3,0,0,0.0405941493809223,1.827756293118,1.781850028783083
serie_a,2014-2015,3915,Caio,Cagliari,S,6,92,0,0,0.5831817202270031,0.1012668553739786,5,2,0,0,0,0.5831817202270031,1.15040310844779,0.496297225356102
serie_a,2014-2015,3922,Diego Novaretti,Lazio,D S,5,263,0,0,0.1377239115536213,0.0190129708498716,4,1,1,1,0,0.1377239115536213,0.268723726272583,0.2290883734822273
serie_a,2014-2015,3924,Hördur Bjorgvin Magnusson,Cesena,D M,12,996,0,0,0.1200729925185442,0.1939178369939327,6,3,1,0,0,0.1200729925185442,1.5690775774419308,1.4135920777916908
serie_a,2014-2015,3925,Gabriele Moncini,Cesena,S,2,15,0,0,0.0179613549262285,0.0,1,0,0,0,0,0.0179613549262285,0.1006885785609483,0.0827272236347198
serie_a,2014-2015,3927,Alessio Cragno,Cagliari,GK,14,1260,0,0,0.0,0.0,0,0,0,0,0,0.0,1.3464094419032335,1.3464094419032335
serie_a,2014-2015,3929,Lionel Scaloni,Atalanta,D S,3,127,0,0,0.0235025193542242,0.0971948429942131,2,2,0,0,0,0.0235025193542242,0.1351803233847022,0.0144829591736197
serie_a,2014-2015,3931,Vlada Avramov,Atalanta,GK,1,57,0,0,0.0,0.0,0,0,0,1,0,0.0,0.0507298521697521,0.0507298521697521
serie_a,2014-2015,3932,Ivan Martic,Verona,D S,16,1031,0,1,0.0710399374365806,0.3939010081812739,1,6,3,0,0,0.0710399374365806,2.0671368092298508,1.7588217221200466
serie_a,2014-2015,3933,Davide Di Molfetta,AC Milan,S,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.2566325068473816,0.2566325068473816
serie_a,2014-2015,3938,Francesco Pisano,Cagliari,D S,13,868,0,0,0.0834218934178352,0.9340159893035888,1,6,1,0,0,0.0834218934178352,1.6940173171460629,1.124917022883892
serie_a,2014-2015,3948,Simone Rosso,Torino,S,2,32,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
serie_a,2014-2015,3960,Salvatore Masiello,Torino,S,1,41,0,0,0.0695908144116401,0.0,1,1,0,0,0,0.0695908144116401,0.0695908144116401,0.0
serie_a,2014-2015,3961,Josef Husbauer,Cagliari,S,2,19,0,0,0.0165984220802783,0.0,1,0,0,0,0,0.0165984220802783,0.0960873216390609,0.0794888958334922
serie_a,2014-2015,3964,Gaston Camara,Inter,S,2,4,0,0,0.0,0.0359895639121532,0,1,0,0,0,0.0,0.0359895639121532,0.0
serie_a,2014-2015,3967,Michael Essien,AC Milan,M S,13,677,0,0,0.0823057824745774,0.0748115051537752,5,3,1,1,0,0.0823057824745774,2.623580316081643,2.501505443826318
serie_a,2014-2015,3970,Cristian Rodríguez,Parma,F M,5,447,0,0,0.497889494523406,0.602171266451478,13,8,0,1,0,0.497889494523406,1.216641254723072,0.3525607325136661
serie_a,2014-2015,3981,Simone Benedetti,Cagliari,D S,5,328,0,1,0.0,0.4571709036827087,0,1,2,0,0,0.0,0.1011769697070121,0.1011769697070121
serie_a,2014-2015,3983,Jean-François Gillet,Torino,GK,12,1080,0,0,0.0,0.0741544067859649,0,2,0,0,0,0.0,0.9425542652606964,0.9205919727683068
serie_a,2014-2015,3985,Sebastian Giovinco,Juventus,F S,7,186,0,0,0.9323795530945064,0.4313735645264387,20,5,0,0,0,0.9323795530945064,1.244849257171154,0.4346269443631172
serie_a,2014-2015,3986,Nicola Bellomo,Chievo,S,5,71,0,1,0.0971363056451082,0.6247036978602409,2,4,0,0,0,0.0971363056451082,0.5581140108406544,0.0454985834658145
serie_a,2014-2015,3987,Lucas Souza,Parma,M S,3,190,0,0,0.2013726830482483,0.0,5,0,0,0,0,0.2013726830482483,0.2624413445591926,0.0797919295728206
serie_a,2014-2015,3988,Nenê,Verona,F S,8,325,0,0,2.8380037918686867,0.0684614330530166,17,3,1,0,0,2.8380037918686867,2.29611973464489,0.1578709976747632
