id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season,league
7500,Giacomo Raspadori,27,1224,6,5.093871857970953,0,2.294205453246832,24,26,1,0,F M S,Sassuolo,6,5.093871857970953,8.898129899054766,2.242841897532344,2020-2021,serie_a
8912,Tommaso Pobega,20,1269,6,3.648389555513859,0,0.3380108382552862,22,7,6,0,M S,Spezia,6,3.648389555513859,4.250079210847616,1.5313267260789871,2020-2021,serie_a
687,Pedro,27,1607,5,4.9878731360659,2,3.3779399590566754,43,28,3,1,M S,Roma,5,4.9878731360659,12.265264885500072,5.15206715837121,2020-2021,serie_a
1170,Gianluca Caprari,30,1900,5,3.830051966942847,6,2.463299870491028,48,34,4,1,F M S,Benevento,5,3.068753161467612,6.256533400155604,2.598371963016689,2020-2021,serie_a
1233,Filip Djuricic,32,2127,5,6.798063486814499,4,6.251605866476893,55,55,5,0,F M S,Sassuolo,4,6.036764655262232,14.895784823223948,5.054372477345169,2020-2021,serie_a
1324,Federico Dimarco,35,2615,5,2.554924106225372,3,7.502206857316196,37,74,6,0,D S,Verona,5,2.554924106225372,12.582640098407865,8.589493434876204,2020-2021,serie_a
1517,Antonio Candreva,35,2517,5,4.781777881085873,8,6.037708966992796,57,62,1,0,F M S,Sampdoria,3,3.2591802701354027,9.03814811259508,4.005647266283631,2020-2021,serie_a
1518,Rodrigo Palacio,36,2508,5,9.866806713864207,5,5.065782688558102,54,40,5,0,F M S,Bologna,5,9.866806713864207,20.146332385018468,8.023169681429863,2020-2021,serie_a
1723,Roberto Pereyra,34,2949,5,4.137737431563437,7,4.314292633906007,28,45,8,0,F M,Udinese,4,3.37643859628588,13.599072700366378,6.878924558870494,2020-2021,serie_a
1943,Gervinho,27,2040,5,3.7145398780703545,1,2.3280223635956645,32,27,0,0,F M S,Parma Calcio 1913,5,3.7145398780703545,8.166107296943665,2.5966917127370834,2020-2021,serie_a
2217,Antonio Sanabria,14,986,5,3.268285073339939,1,0.5611243899911642,20,7,2,0,F S,Torino,5,3.268285073339939,4.6225175661966205,1.4414503630250692,2020-2021,serie_a
5360,Weston McKennie,34,1684,5,5.199278868734837,2,3.8772389153018594,28,26,5,0,M S,Juventus,5,5.199278868734837,11.353354316204786,5.9089685417711735,2020-2021,serie_a
6196,Nicolas Viola,17,1042,5,3.5975686693564057,3,1.3177124112844467,18,18,0,0,M S,Benevento,1,0.5523733915761113,2.327013321220875,1.4371162503957748,2020-2021,serie_a
6960,Bremer,33,2939,5,2.9508720403537154,0,0.3044275939464569,26,7,2,0,D,Torino,5,2.9508720403537154,7.46913230791688,7.022393334656954,2020-2021,serie_a
6974,Mattias Svanberg,34,1878,5,5.1559270322322845,2,2.7285459795966744,58,15,6,1,M S,Bologna,5,5.1559270322322845,9.551723162643611,4.717855555936694,2020-2021,serie_a
6986,Hamed Junior Traore,35,1786,5,4.421584801748395,2,3.8875078605487934,42,34,6,0,F M S,Sassuolo,5,4.421584801748395,10.889406397938728,4.612819699570537,2020-2021,serie_a
7375,Roberto Piccoli,20,693,5,5.036985773593187,0,0.5007430026307702,15,3,0,0,F S,Spezia,5,5.036985773593187,6.209612634032965,0.6718838401138783,2020-2021,serie_a
7909,Gaetano Castrovilli,34,2365,5,3.1726218508556485,3,2.258746949955821,32,17,8,1,M S,Fiorentina,5,3.1726218508556485,11.659953190013766,7.339910374954343,2020-2021,serie_a
189,Hakan Calhanoglu,33,2641,4,4.757032563909888,9,8.855919186025858,84,97,4,0,M S,AC Milan,3,3.9957337211817503,15.453609466552734,9.753074357286096,2020-2021,serie_a
448,Ivan Perisic,32,1799,4,4.947716418653727,4,4.212213046848774,36,29,3,0,D F M S,Inter,4,4.947716418653727,12.467631300911307,4.807819711044431,2020-2021,serie_a
1104,Leonardo Pavoletti,33,1576,4,7.449655855074525,3,1.420117225497961,44,12,8,0,F S,Cagliari,4,7.449655855074525,8.040112026035786,1.0224450286477804,2020-2021,serie_a
1122,Manuel Locatelli,34,2887,4,3.497752932831645,2,3.230946093797684,42,37,9,0,M S,Sassuolo,2,1.9751552790403368,14.761863613501191,11.357733272016048,2020-2021,serie_a
1178,Davide Zappacosta,25,2050,4,2.5901719303801656,2,1.2276653032749891,41,12,3,0,D S,Genoa,4,2.5901719303801656,7.910429098643362,4.55435298755765,2020-2021,serie_a
1294,Paulo Dybala,20,1131,4,4.79860945045948,3,3.158298303373158,51,30,0,0,F S,Juventus,4,4.79860945045948,12.577651873230934,6.718402687460184,2020-2021,serie_a
1406,Marco Sau,24,765,4,2.3113327994942665,2,1.4944311305880549,11,19,1,1,F M S,Benevento,3,1.550114430487156,2.2915191389620304,0.4940700475126505,2020-2021,serie_a
1491,Alejandro Gomez,10,676,4,2.726887943223119,2,1.6215690225362778,29,19,0,0,F M S,Atalanta,4,2.726887943223119,6.293657153844833,3.821936570107937,2020-2021,serie_a
1492,Jasmin Kurtic,34,2757,4,3.8416092693805695,0,2.5764407934620976,35,23,5,0,M S,Parma Calcio 1913,4,3.8416092693805695,9.856570567004384,5.951420574449003,2020-2021,serie_a
1493,Andrea Petagna,26,944,4,4.297941517084837,3,3.2201087325811386,24,26,0,0,F S,Napoli,4,4.297941517084837,8.29662223905325,1.927357213571668,2020-2021,serie_a
1605,Diego Farias,29,1500,4,2.987116325646639,2,4.024919245392084,32,32,5,0,F S,Spezia,4,2.987116325646639,8.716844888404012,3.814954046159983,2020-2021,serie_a
1763,Stefano Okaka,22,1494,4,4.292407777160406,1,0.6370267337188125,24,9,2,0,F S,Udinese,4,4.292407777160406,4.708405653946102,1.4272785820066929,2020-2021,serie_a
1903,Kevin Lasagna,36,2372,4,11.374924171715977,1,3.267692799679935,72,25,1,0,F M S,"Udinese,Verona",4,11.374924171715977,15.326302723959088,1.6668750727549195,2020-2021,serie_a
2711,Aleksey Miranchuk,25,641,4,1.5803114641457796,2,2.1162480507045984,15,14,0,0,M S,Atalanta,4,1.5803114641457796,7.139642158523202,4.501205984503031,2020-2021,serie_a
3259,Adam Ounas,22,1531,4,3.4181644655764103,3,4.25723272562027,31,28,1,0,F M S,"Cagliari,Crotone",4,3.4181644655764103,9.250541046261787,2.6765757193788886,2020-2021,serie_a
3291,Adrien Rabiot,34,2310,4,2.824279246851802,2,1.773316403850913,33,10,5,1,M S,Juventus,4,2.824279246851802,13.158003136515616,9.666411442682149,2020-2021,serie_a
3544,Jeremie Boga,27,1785,4,4.477026155218482,2,1.1497484277933836,32,11,0,0,M S,Sassuolo,4,4.477026155218482,7.505357516929507,2.886572618968785,2020-2021,serie_a
3978,Marco Faraoni,34,2902,4,3.497334649786353,7,4.374069698154926,34,22,8,0,D S,Verona,4,3.497334649786353,11.301357064396145,6.568548955023289,2020-2021,serie_a
6159,Gianluca Mancini,33,2857,4,2.6674899412319064,2,1.0118546895682812,28,8,10,0,D,Roma,4,2.6674899412319064,11.487869089469314,10.009989658370614,2020-2021,serie_a
6421,Brahim Diaz,27,1254,4,3.5914489794522524,3,1.3711145296692848,26,19,2,0,M S,AC Milan,4,3.5914489794522524,6.498397829942405,3.0602291831746697,2020-2021,serie_a
6517,Charalampos Lykogiannis,31,2447,4,1.856371259316802,2,1.2530354307964444,28,13,6,2,D M S,Cagliari,4,1.856371259316802,7.418601565063,5.596150868572295,2020-2021,serie_a
6691,Dejan Kulusevski,35,1917,4,3.3344092592597008,3,6.333949090912938,34,52,7,0,D F M S,Juventus,4,3.3344092592597008,16.382544562220573,8.5699841119349,2020-2021,serie_a
8913,Emmanuel Gyasi,37,2869,4,5.116820897907019,6,4.339981388300657,29,28,4,0,F S,Spezia,4,5.116820897907019,12.612698964774609,4.777365434914827,2020-2021,serie_a
557,Matteo Darmian,29,1364,3,1.5930010229349136,3,1.0115783233195543,9,12,5,0,D M S,"Inter,Parma Calcio 1913",3,1.5930010229349136,4.924568220973015,3.017340824007988,2020-2021,serie_a
646,Christian Eriksen,26,1401,3,1.18103361222893,0,2.388552473857999,29,30,1,0,M S,Inter,3,1.18103361222893,8.246588556095958,6.635255221277475,2020-2021,serie_a
1106,Darko Lazovic,32,2504,3,3.1488924957811832,6,5.400703484192491,33,34,3,0,D M S,Verona,3,3.1488924957811832,13.290356880053878,7.499545521102846,2020-2021,serie_a
1121,Giacomo Bonaventura,34,2288,3,2.934241278097033,2,3.2226443886756897,44,24,5,0,M S,Fiorentina,3,2.934241278097033,8.718346842564642,4.8119968650862575,2020-2021,serie_a
1223,Milan Skriniar,32,2782,3,2.3304228261113167,0,0.5906466878950596,15,9,1,0,D S,Inter,3,2.3304228261113167,14.714334949851036,14.530002899467943,2020-2021,serie_a
1383,Manolo Gabbiadini,16,879,3,2.6930756866931915,2,1.7783840987831354,29,11,1,0,F S,Sampdoria,2,1.931857317686081,5.177682546898723,1.9985928069800136,2020-2021,serie_a
1409,Nicolò Barella,36,2912,3,2.443391965702176,7,5.978034526109695,36,47,5,0,M S,Inter,3,2.443391965702176,21.87855887413025,16.562511831521988,2020-2021,serie_a
1468,Gregoire Defrel,28,1340,3,2.321673172526061,3,1.0106601603329182,22,19,1,0,F M S,Sassuolo,3,2.321673172526061,6.303596757352352,3.7277063438668847,2020-2021,serie_a
1496,Roberto Gagliardini,28,1225,3,1.2104502124711871,2,1.891990652307868,17,8,2,0,M S,Inter,3,1.2104502124711871,7.053188756108284,4.390993695706129,2020-2021,serie_a
1523,Danilo D&#039;Ambrosio,19,679,3,1.967871863394976,0,0.2012898623943328,8,3,2,0,D S,Inter,3,1.967871863394976,2.591907974332571,2.384026121348142,2020-2021,serie_a
1537,Sasa Lukic,32,2116,3,1.948836291208864,0,1.2659294111654162,19,23,4,0,M S,Torino,3,1.948836291208864,5.519555593840778,3.236969123594463,2020-2021,serie_a
